mdds_stc,state_name,mdds_dtc,district_name,mdds_sub_dt,sub-district_name,mdds_plcn,area_name
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27374,Darbahn (406)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27375,Darkua Bangla (405)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27376,Sarti(404)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27377,Dukhan Iyali (407)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27378,Ghar (408)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27379,Barsudhal (409)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27380,Dunera (418)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27381,Bhamlada (410)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27382,Nalloh (411)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27383,Phangota (403)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27384,Dhar Khurd (412)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27385,Faugli Mawa (413)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27386,Lanjera (417)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27387,Lohrun (Lehroon) (419)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27388,Bakhatpur (420)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27389,Rohg (416)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27390,Bhanguri (415)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27391,Jalahar (414)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27392,Dhar Kalan (400)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27393,Hardo Saran (401)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27394,Chamrour (402)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27395,Thara Uparla (399/2)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27396,Thara Jhikla (399/1)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27397,Narianpur (395)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27398,Hara (394)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27399,Tarhari (396)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27400,Tureti (397)
3,PUNJAB,35,Gurdaspur,200,Dhar Kalan,27401,Kot (CT)
3,PUNJAB,35,Gurdaspur,201,Pathankot,27402,Rajpura(366)
3,PUNJAB,35,Gurdaspur,201,Pathankot,27403,Barkola (365)
3,PUNJAB,35,Gurdaspur,201,Pathankot,27404,Harur (364)
3,PUNJAB,35,Gurdaspur,201,Pathankot,27405,Kamwal (363)
3,PUNJAB,35,Gurdaspur,201,Pathankot,27406,Khala (362)
