mdds_stc,state_name,mdds_dtc,district_name,mdds_sub_dt,sub-district_name,mdds_plcn,area_name
31,LAKSHADWEEP,587,Lakshadweep,5620,Amini,627030,Amini (CT)
31,LAKSHADWEEP,587,Lakshadweep,5624,Kadmat,627034,Kadmat (CT)
31,LAKSHADWEEP,587,Lakshadweep,5625,Kavaratti,627035,Pitti (Birds' Island)
31,LAKSHADWEEP,587,Lakshadweep,5625,Kavaratti,627036,Suheli Valiyakara
31,LAKSHADWEEP,587,Lakshadweep,5625,Kavaratti,627037,Suheli Cheriyakara
31,LAKSHADWEEP,587,Lakshadweep,5625,Kavaratti,627038,Kavaratti (CT)
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627039,Tinnakara
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627040,Parali (I)
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627041,Parali (II)
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627042,Parali (III)
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627043,Bangaram
31,LAKSHADWEEP,587,Lakshadweep,5626,Agatti,627045,Kalpitti
31,LAKSHADWEEP,587,Lakshadweep,5627,Andrott,627046,Andrott (CT)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627047,Cheriyam
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627048,Kodithala
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627049,Tilakkam (I)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627050,Tilakkam (II)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627051,Tilakkam (III)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627052,Pitti (I)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627053,Pitti (II)
31,LAKSHADWEEP,587,Lakshadweep,5628,Kalpeni,627054,Kalpeni (CT)
31,LAKSHADWEEP,587,Lakshadweep,5629,Minicoy,627055,Viringili
31,LAKSHADWEEP,587,Lakshadweep,5629,Minicoy,627056,Minicoy (CT)
